融资买入额,融资余额,融券卖出量,融券余量,融券余额,融资融券余额
96.34,2856.4,0.15,1.05,10.71,2867.11
106.8,2867.5,0.21,1.05,10.72,2878.22
87.35,2868.3,0.21,1.04,9.87,2878.17
93.31,2869.21,0.17,0.99,9.89,2879.11
97.43,2874.68,0.15,0.99,9.91,2884.6
131.89,2876.36,0.21,1.01,10.22,2886.59
98.47,2879.23,0.32,1.16,10.11,2889.35
124.14,2885.04,0.2,1.01,9.85,2894.9
114.89,2879.14,0.21,0.99,9.66,2888.8
75.82,2870.83,0.16,0.97,9.12,2879.96
67.88,2874.0,0.14,0.94,9.06,2883.07
57.75,2869.93,0.1,0.92,9.15,2879.09
79.51,2897.43,0.13,1.02,9.79,2907.23
65.06,2901.33,0.13,1.0,9.74,2911.07
87.02,2905.79,0.32,1.14,10.12,2915.92
64.71,2911.23,0.11,0.98,9.78,2921.01
68.98,2911.32,0.14,1.01,9.92,2921.24
71.58,2918.46,0.14,1.03,10.14,2928.61
59.51,2914.0,0.1,1.02,10.05,2924.05
69.27,2923.51,0.15,1.04,10.37,2933.89
73.35,2921.9,0.12,1.05,10.28,2932.19
90.36,2915.52,0.16,1.11,10.75,2926.28
102.92,2934.11,0.17,1.12,11.32,2945.44
68.84,2935.91,0.14,1.12,10.95,2946.86
68.41,2941.69,0.11,1.09,10.68,2952.37
78.32,2943.04,0.18,1.14,11.03,2954.08
74.6,2938.54,0.14,1.12,11.11,2949.65
106.42,2944.8,0.18,1.17,11.42,2956.22
107.66,2942.19,0.17,1.18,11.76,2953.95
109.27,2939.54,0.17,1.18,11.62,2951.16
154.92,2937.52,0.24,1.2,11.82,2949.35
84.57,2933.62,0.19,1.16,11.12,2944.74
101.43,2942.3,0.16,1.17,11.12,2953.43
